Data,Dia,Horário,Tipo,Ministros Necessários,Ministros Escalados,Nomes,Cobertura
"01/10/2025","quarta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"02/10/2025","quinta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"03/10/2025","sexta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"04/10/2025","sábado","06:30","Missa Diária","5","0","Nenhum","0%"
"05/10/2025","domingo","08:00","Missa Dominical","15","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","20%"
"05/10/2025","domingo","10:00","Missa Dominical","20","3","Ministro Exemplo; Administrador SJT; Coordenador Exemplo","15%"
"05/10/2025","domingo","19:00","Missa Dominical","20","3","Ministro Exemplo; Coordenador Exemplo; Administrador SJT","15%"
"06/10/2025","segunda-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"07/10/2025","terça-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"08/10/2025","quarta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"09/10/2025","quinta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"10/10/2025","sexta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"11/10/2025","sábado","06:30","Missa Diária","5","0","Nenhum","0%"
"12/10/2025","domingo","08:00","Missa Dominical","15","3","Coordenador Rossit; Administrador SJT; Ministro Exemplo","20%"
"12/10/2025","domingo","10:00","Missa Dominical","20","3","Coordenador Rossit; Administrador SJT; Ministro Exemplo","15%"
"12/10/2025","domingo","19:00","Missa Dominical","20","3","Coordenador Rossit; Ministro Exemplo; Administrador SJT","15%"
"13/10/2025","segunda-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"14/10/2025","terça-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"15/10/2025","quarta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"16/10/2025","quinta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"17/10/2025","sexta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"18/10/2025","sábado","06:30","Missa Diária","5","0","Nenhum","0%"
"19/10/2025","domingo","08:00","Missa Dominical","15","3","Coordenador Exemplo; Administrador SJT; Ministro Exemplo","20%"
"19/10/2025","domingo","10:00","Missa Dominical","20","3","Coordenador Exemplo; Administrador SJT; Ministro Exemplo","15%"
"19/10/2025","domingo","19:00","Missa Dominical","20","3","Coordenador Exemplo; Administrador SJT; Ministro Exemplo","15%"
"20/10/2025","segunda-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"21/10/2025","terça-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"22/10/2025","quarta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"23/10/2025","quinta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"24/10/2025","sexta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"25/10/2025","sábado","06:30","Missa Diária","5","0","Nenhum","0%"
"26/10/2025","domingo","08:00","Missa Dominical","15","3","Coordenador Rossit; Coordenador Exemplo; Ministro Exemplo","20%"
"26/10/2025","domingo","10:00","Missa Dominical","20","3","Coordenador Rossit; Coordenador Exemplo; Ministro Exemplo","15%"
"26/10/2025","domingo","19:00","Missa Dominical","20","3","Coordenador Rossit; Coordenador Exemplo; Ministro Exemplo","15%"
"27/10/2025","segunda-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"28/10/2025","terça-feira","07:00","Festa de São Judas Tadeu","10","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","30%"
"28/10/2025","terça-feira","10:00","Festa de São Judas Tadeu","15","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","20%"
"28/10/2025","terça-feira","12:00","Festa de São Judas Tadeu","10","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","30%"
"28/10/2025","terça-feira","15:00","Festa de São Judas Tadeu","10","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","30%"
"28/10/2025","terça-feira","17:00","Festa de São Judas Tadeu","10","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","30%"
"28/10/2025","terça-feira","19:30","Festa de São Judas Tadeu","20","3","Administrador SJT; Coordenador Exemplo; Ministro Exemplo","15%"
"29/10/2025","quarta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"30/10/2025","quinta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
"31/10/2025","sexta-feira","06:30","Missa Diária","5","0","Nenhum","0%"
